Lelisa Desisa,M0-39,2:09:17
Yemane Adhane Tsegay,M0-39,2:09:48
Wilson Chebet,M0-39,2:10:22
Bernard Kipyego,M0-39,2:10:47
Wesley Korir,M0-39,2:10:49
Frankline Chepkwony,M0-39,2:10:52
Dathan Ritzenhein,M0-39,2:11:20
Meb Keflezighi,M0-39,2:10:34
Tadese Tola,M0-39,2:13:35
Vitaliy Shafar,M0-39,2:13:52
Matt Tegenkamp,M0-39,2:13:52
Jeffrey Eggleston,M0-39,2:14:17
Lusapho April,M0-39,2:16:25
Nicholas Arciniaga,M0-39,2:18:02
Danilo Goffi,M40-44,2:13:10
Sage Canaday,M0-39,2:19:12
Sergey Zyryanov,M0-39,2:19:17
Chris Chavez,M0-39,2:20:04
Scott Macpherson,M0-39,2:20:25
Christopher Zablocki,M0-39,2:20:35
Kiyokatsu Hasegawa,M0-39,2:20:42
Benjamin P. Zywicki,M0-39,2:21:10
Philippe Viau-Dupuis,M0-39,2:21:16
Ruben Sanca,M0-39,2:21:58
Fernando Cabada,M0-39,2:22:05
Malcolm J. Richards,M0-39,2:22:30
Cole Atkins,M0-39,2:23:21
Christian Mercier,M40-44,2:21:07
Daniel Glaz,M0-39,2:24:44
Said Sr. Boudalia,M45-49,2:14:21
Caroline Rotich,F0-39,2:24:51
Mare Dibaba,F0-39,2:24:59
Matt Lenehan,M0-39,2:25:08
Buzunesh Deba,F0-39,2:25:09
Maxime M Leboeuf,M0-39,2:25:10
Takaya Sakamoto,M0-39,2:25:10
Jason M. Ayr,M0-39,2:25:14
Jerry D. Faulkner,M0-39,2:25:28
Oz Pearlman,M0-39,2:25:31
Desiree Linden,F0-39,2:25:25
Yosuke Chida,M0-39,2:25:47
Jason M. Simpson,M0-39,2:25:47
Ulrich Steidl,M40-44,2:18:56
Sharon Cherop,F0-39,2:25:50
Graham Peck,M0-39,2:26:09
Matthew T. Lawder,M0-39,2:26:15
Jesse A. Schneider,M0-39,2:26:24
Bobby Torphy,M0-39,2:26:29
David Sevcik,M0-39,2:26:35
Aliaksandr Leuchanka,M0-39,2:26:36
Eric R. McDonald,M0-39,2:26:38
Caroline Kilel,F0-39,2:25:13
Charlie Paul,M0-39,2:26:41
Aberu Kebede,F0-39,2:26:52
James M. Kelly,M0-39,2:27:01
Craig R. Coon,M0-39,2:27:08
Roger Konigs,M0-39,2:26:34
Shure Demise,F0-39,2:26:17
Daniel P. Schlich,M0-39,2:27:11
Michael Wardian,M40-44,2:22:36
Louis C. Serafini,M0-39,2:27:37
Shalane Flanagan,F0-39,2:26:51
Emiliano I. Garcia,M0-39,2:27:49
Daniel Craighead,M0-39,2:27:53
Austin D Hendrix,M0-39,2:27:54
Philip J Shaw,M0-39,2:27:57
John Hinkle,M0-39,2:28:10
Alexander Varner,M0-39,2:28:14
Jaime Julia,M0-39,2:28:17
Vajin L. Armstrong,M0-39,2:28:18
Craig A. Segal,M0-39,2:28:23
Kevin Hoyt,M0-39,2:28:29
Brandon J Cushman,M0-39,2:28:33
Blue Benadum,M0-39,2:28:44
Joyce Chepkirui,F0-39,2:29:07
Thomas Briot,M0-39,2:29:16
Zachary Ornelas,M0-39,2:29:20
Aleksandra Duliba,F0-39,2:29:23
Thomas G. Clifford,M0-39,2:29:27
Joseph Darda,M0-39,2:29:37
Zachary Meineke,M0-39,2:29:38
Damon Valenzona,M0-39,2:29:42
David Saunders,M0-39,2:29:45
Benjamin Mears,M0-39,2:29:49
Neil Pearson,M40-44,2:24:01
Charlie A Hurt,M0-39,2:30:15
Chip Ohara,M0-39,2:30:17
Chris Raulli,M0-39,2:30:19
Zachary T Bruns,M0-39,2:30:28
John Ricardi,M0-39,2:30:29
Chris Bailey,M0-39,2:31:08
Logan B. Sherman,M0-39,2:31:18
Bryan Morton,M0-39,2:31:23
Michael Capriolo,M0-39,2:31:34
Michael French,M0-39,2:31:28
Jonathan E. Baker,M0-39,2:31:57
J A Penny,M0-39,2:31:59
Nicholas R. Caprario,M0-39,2:32:01
Bert Jacoby,M0-39,2:32:02
Cameron Ausen,M0-39,2:32:05
Wesley C. Turner,M0-39,2:32:06
Thomas A Petersen,M0-39,2:32:06
Anthony J. Sobrilsky,M0-39,2:32:07
C Fred Joslyn,M0-39,2:32:09
Jesus Sr. Campos,M0-39,2:32:15
Mario Jr. Fraioli,M0-39,2:32:22
Patrick H. Hearn,M0-39,2:32:24
Johann A Salazar,M40-44,2:28:52
Dale Hunter,M0-39,2:32:33
Brad Mish,M0-39,2:32:36
Mason D. Frank,M0-39,2:32:39
Paul J Piper,M0-39,2:32:48
Jonathan P Korhonen,M0-39,2:32:51
Manuel Gonzalez,M0-39,2:32:57
Bryan Huberty,M0-39,2:32:48
Robert J. Bond,M0-39,2:33:03
Sean Welleck,M0-39,2:33:07
Bradley A. Alban,M0-39,2:33:13
Wayne L. Blas,M0-39,2:32:36
Bryan Sharkey,M0-39,2:33:14
Stephen Vangampleare,M0-39,2:33:22
David Marley,M0-39,2:33:23
Cameron M. Cummings,M0-39,2:33:35
Bart Johnson,M0-39,2:33:36
Patrick J. Klein,M0-39,2:33:36
Shawn E D'Andrea,M0-39,2:33:46
Alan Ash,M0-39,2:33:47
Jordan Lerma,M0-39,2:33:47
Russell N. Stein,M40-44,2:27:40
Jonathan Briskman,M0-39,2:33:58
Charlie Brenneman,M0-39,2:33:22
Geoff Nelson,M0-39,2:34:03
Spencer McElwain,M0-39,2:34:03
Dougie J Coffed,M0-39,2:34:03
Stephen II Heagy,M0-39,2:34:04
Thomas J. O'Grady,M0-39,2:34:12
Eric Mendoza,M0-39,2:34:14
Alan Black,M40-44,2:29:18
Nils Schallner,M0-39,2:34:29
Jack R Klecker,M0-39,2:34:42
Jefferson D Welch,M0-39,2:34:52
Jason R Butler,M40-44,2:28:47
Scott Keate,M40-44,2:30:04
Alex F Standiford,M0-39,2:35:00
Chris C. Stone,M0-39,2:35:12
Lisa Nemec,F0-39,2:35:14
Ari Schorr,M0-39,2:35:19
Adam Goode,M0-39,2:35:42
Ethan Rissell,M0-39,2:35:42
Trevor N. Cable,M0-39,2:35:48
Sean P. Hyland,M0-39,2:35:50
Rich Burke,M45-49,2:23:20
Franklin Tenorio,M45-49,2:25:50
Roger Donaghy,M0-39,2:35:45
Daniel Mueller,M0-39,2:35:57
Gregory Liebl,M0-39,2:35:58
Timothy Catoggio,M0-39,2:35:59
Steven M. Johnson,M0-39,2:36:01
Billy Shue,M0-39,2:36:01
Kevin J. Gries,M0-39,2:36:01
Jonathan Autrey,M0-39,2:36:04
Lee Muir,M0-39,2:36:05
Taylor B Washburn,M0-39,2:36:07
Andrew Chalmers,M0-39,2:36:16
Sean K Watson,M0-39,2:36:24
Marc Jeuland,M0-39,2:36:22
Robert Gomez,M0-39,2:36:32
Daniel Ducharme,M0-39,2:36:34
Jan MÃ¼ller,M0-39,2:36:36
Jose Antonio Sr. Blanco,M0-39,2:34:10
Fritz Van De Kamp,M0-39,2:36:42
John P. Crimmings,M0-39,2:36:43
Rob Weston,M0-39,2:36:45
Matthew M Newman,M0-39,2:36:47
Alex White,M0-39,2:36:48
Erik Petersson,M0-39,2:36:48
Daniel J Button,M0-39,2:36:54
Arturo Mancebo Garcia,M0-39,2:36:57
Kenny Rayner,M0-39,2:36:58
Stephen A. Harris,M0-39,2:36:59
Matt Dahl,M0-39,2:37:03
Bruce A Jr. Berger,M40-44,2:30:47
Andrew R Bauder,M0-39,2:37:05
Adam S Tenforde,M0-39,2:37:10
Elenilton V. Sr. Rangel,M40-44,2:32:09
Matt McSween,M0-39,2:37:13
William D. Jr. Appman,M0-39,2:37:19
Peter J. Jr. Mone,M0-39,2:37:20
Peter Hammer,M45-49,2:23:27
Tyler Dimson,M0-39,2:36:39
Steven M. Monteleone,M0-39,2:37:23
Dustin M. Whitlow,M0-39,2:37:24
Rafer Dannenhauer,M0-39,2:37:24
Sam L. Starbuck,M0-39,2:37:24
Ian T Neill,M0-39,2:37:26
Daniel Moss,M0-39,2:37:27
Mark A Sidebottom,M0-39,2:37:28
Alexander J. Sanford,M0-39,2:37:29
Ian E. LaBelle,M0-39,2:37:31
Daniel C Kittaka,M0-39,2:37:31
Michael Arnstein,M0-39,2:36:06
Andrew D. Whitacre,M0-39,2:37:32
David Blitzer,M0-39,2:37:36
Blake K. Whitney,M0-39,2:37:40
Thibaud Friess,M0-39,2:37:48
Cliff Gerber,M0-39,2:37:49
Greg Rolfes,M0-39,2:37:49
Wesley Toews,M0-39,2:37:50
Samuel K. Fazioli,M0-39,2:37:51
Kurt Warwick,M0-39,2:37:54
Matthew Manning,M0-39,2:38:05
Eugene M Daly,M0-39,2:38:07
Gabriel D. Gunnink,M0-39,2:38:08
Stan J Chaisson,M0-39,2:38:16
Scott Wandzilak,M0-39,2:38:20
Norman H. Mininger,M0-39,2:38:31
Ryan Jaskiewicz,M0-39,2:38:32
Peter Denton,M0-39,2:38:35
Trent A Taylor,M0-39,2:38:36
Scott M. Traver,M0-39,2:38:36
Dan Shafer,M0-39,2:38:31
Alexander Looi,M0-39,2:38:36
Adam Airoldi,M0-39,2:38:47
Adriana Nelson,F0-39,2:36:32
Stephen Cox,M0-39,2:38:49
Ryan C Tice,M0-39,2:38:49
Morgan Kennedy,M0-39,2:38:53
Braulio Benitez,M0-39,2:38:54
Christopher M. Rogers,M0-39,2:38:56
Johnson K Lee,M0-39,2:38:59
Bobby Asher,M0-39,2:39:01
Ashley J. Miles,M0-39,2:38:52
Armando Ramirez,M0-39,2:39:06
Justin Goetz,M0-39,2:39:07
Chaiwat Engtrakul,M0-39,2:37:41
Megumi Amako,F0-39,2:39:08
Duncan Roberts,M0-39,2:36:37
David Luy,M0-39,2:39:11
Peter Lovisek,M0-39,2:39:11
Matthew J Schluneker,M0-39,2:39:12
Alfredo Shabot Marcos,M0-39,2:39:13
Kevin Schauwaers,M0-39,2:39:15
Matthew Hillyard,M0-39,2:39:15
Patrick A. Werhane,M0-39,2:39:15
Aaron R Lozier,M0-39,2:39:17
Benjamin Cowan,M0-39,2:39:07
Todd J. Smith,M40-44,2:35:30
Kevin J Dockemeyer,M0-39,2:39:23
Nick Bedbury,M0-39,2:39:26
Thomas Finneran,M0-39,2:39:27
Steve Hammel,M0-39,2:39:27
Nicholas Croker,M0-39,2:39:27
Christopher D. Grange,M0-39,2:39:28
Jason A Howell,M0-39,2:39:29
Anthony S Malatesta,M0-39,2:38:53
Anthony S Walsh,M0-39,2:39:38
Cole Sanseverino,M0-39,2:39:38
Eric Malkowski,M0-39,2:39:39
Christopher Mutai,M0-39,2:38:13
Mathias Osmark,M0-39,2:39:41
Adam Frye,M0-39,2:39:41
Andrew Kessinger,M45-49,2:29:26
Eric Dirth,M0-39,2:39:47
Joshua Ricardi,M0-39,2:39:48
Bryan Andrews,M0-39,2:39:50
Geraint H Davies,M0-39,2:39:52
Michael J. Waterson,M0-39,2:39:53
Felix Cancre,M0-39,2:37:54
Matthew Collins,M0-39,2:39:58
Xiao Wang,M0-39,2:39:58
Xaviour J. Walker,M0-39,2:39:59
Matthew Reisenauer,M0-39,2:40:02
Benjamin L English,M0-39,2:40:06
Bradley Sloan,M0-39,2:37:36
Steve Jr. Tranter,M0-39,2:40:11
Robert J. Friedman,M0-39,2:40:11
William R. Blake,M0-39,2:40:13
Jeffrey M Ragazzini,M0-39,2:40:13
Jatin Narang,M0-39,2:40:08
Chris Robertson,M0-39,2:40:12
Drew T. Nicholson,M0-39,2:40:18
Erik McCarthy,M0-39,2:40:19
Michael Stadolnik,M40-44,2:35:10
Brian E Sutter,M0-39,2:40:20
Yannick Lapierre,M0-39,2:37:48
Shawn C Marek,M0-39,2:39:43
David Franz,M0-39,2:40:24
Marcos S Duarte,M40-44,2:36:33
Jeremy A Klapper,M0-39,2:40:26
Kyle Aitken,M40-44,2:34:02
Chris Dawes,M40-44,2:32:45
Michael Fitzpatrick,M0-39,2:39:51
Mohammad Saad,M0-39,2:40:31
Nicholas D Peterson,M0-39,2:40:32
Christopher W Cacciapaglia,M0-39,2:40:33
Chris Duncan,M0-39,2:40:23
Jonathan Pinney,M0-39,2:40:35
Benjamin Shields,M0-39,2:40:31
Sean R Beaty,M0-39,2:40:37
Rod Farvard,M0-39,2:36:40
Eric N Gehlsen,M0-39,2:40:39
Kevin L Beganics,M0-39,2:40:40
Juan Carlos Soto,M0-39,2:39:56
Hilary K. Dionne,F0-39,2:40:42
Jon Kuehler,M0-39,2:40:42
Ryan M Eason,M0-39,2:40:43
Ryan Paavola,M0-39,2:40:43
Steven Sprieser,M0-39,2:40:39
Dave Clark,M0-39,2:40:44
Samuel L Goldberg,M0-39,2:40:07
Jaime Ruiz Herrero,M0-39,2:40:54
Craig Kuehl,M0-39,2:40:55
Maximilian Meingast,M0-39,2:41:00
Bernat Olle,M0-39,2:41:01
Bob R Larue,M0-39,2:41:03
Jacob WÃ¦ver Larsen,M0-39,2:41:03
Doron P Clark,M0-39,2:40:25
Patrick M. Callahan,M40-44,2:34:36
Matthew P Bejar,M0-39,2:41:07
Joshua D. Frash,M0-39,2:41:08
Miles Aitken,M0-39,2:41:08
Ricardo Maldonado,M50-54,2:23:04
Jeremy Lynch,M0-39,2:41:13
John Butcher,M0-39,2:40:30
Adrian R. Lysaght,M40-44,2:37:20
Daniel T. McCue,M0-39,2:39:47
Kyle Fraser,M0-39,2:41:16
Robert G. Michell,M0-39,2:41:17
Lauren Philbrook,F0-39,2:41:17
Adam Cantini,M0-39,2:41:18
Tim Rusterholz,M0-39,2:41:21
Connor Roche,M0-39,2:41:16
Rich M Power,M50-54,2:23:14
Louis Raffetto,M0-39,2:41:23
Nobuyori Takeda,M0-39,2:41:27
Jack Randall,M0-39,2:39:26
Matt Ozahowski,M0-39,2:41:31
Devin Kelly,M0-39,2:41:36
Dan R. Jensen,M0-39,2:41:36
Thomas Weiler,M0-39,2:41:36
Jeffrey Tissue,M0-39,2:41:37
Scott Weispfennig,M0-39,2:41:40
John Gilbert,M0-39,2:40:13
Paul Ryan,M0-39,2:41:41
Alan F Talhelm,M0-39,2:41:43
Cameron Rieth,M0-39,2:41:44
Javier De Mata,M0-39,2:41:46
Julien Lachance,M0-39,2:41:46
Janez Maroevic,M40-44,2:35:20
Christopher Battoo,M0-39,2:41:51
Arturo H. Moyo,M0-39,2:41:52
Brendan D. Prindiville,M0-39,2:40:25
Chad Sellers,M0-39,2:41:43
Mohd Syahidan Bin Alias,M0-39,2:41:55
Gedion Yitref,M0-39,2:41:55
Matthew J Paullin,M0-39,2:41:57
Patrick D'Alessandro,M0-39,2:41:59
Jean-Marc Mac-Thiong,M40-44,2:38:06
Brian Syring,M0-39,2:42:03
Anders J Erickson,M0-39,2:42:03
Marshall Phares,M0-39,2:42:04
Brian O'Kelly,M0-39,2:42:08
Jesse Stump,M0-39,2:42:08
Mark Wehrman,M0-39,2:42:09
Brian Benestad,M0-39,2:42:10
Tim Harder,M0-39,2:42:10
Jacob Jackson,M0-39,2:41:32
Brian A. Carver,M0-39,2:42:12
Timothy P. Murphy,M0-39,2:42:12
Scott R. Laumann,M40-44,2:33:08
Jeffrey Czyz,M0-39,2:42:16
Koji Kawamoto,M0-39,2:41:37
Jose A. Garcia,M0-39,2:42:17
Tom Edwards,M0-39,2:42:23
Ryan C. Johnson,M0-39,2:42:24
Gregory Doyon,M0-39,2:42:27
Rick Esponda,M40-44,2:38:32
Matthew J. Mead,M0-39,2:42:18
Kyle S Petty,M0-39,2:42:30
Christopher C Denucci,M0-39,2:42:32
Robert Fisher,M0-39,2:42:35
Adam Ritter,M0-39,2:42:38
Dylan J Marton,M0-39,2:42:39
David Campa,M40-44,2:38:43
Brad Ruffo,M0-39,2:42:40
Robert S Ashby,M45-49,2:30:58
Steve Lloyd,M0-39,2:42:47
Valur Kristjansson,M0-39,2:42:49
Stephen Rathbun,M0-39,2:42:44
Albert Boyce,M50-54,2:25:50
Junyong Pak,M0-39,2:42:11
James A Fisher,M0-39,2:42:51
Masahiro Takaoka,M0-39,2:42:53
Stephen Hennigar,M0-39,2:42:57
Jorge Garcia Garcia,M40-44,2:36:25
Jeremy Walsh,M0-39,2:42:58
Gregory Byrnes,M0-39,2:42:59
Matt Homich,M0-39,2:43:00
Tyler Dye,M0-39,2:43:03
Pierre-Michel Arcand,M0-39,2:43:05
Adam C Groff,M0-39,2:41:38
Mauricio J. Sr. Sanchez Antognini,M40-44,2:35:21
Estuardo F Novales,M0-39,2:43:13
Dan Troland,M0-39,2:42:33
Daniel Hamilton,M0-39,2:43:15
Brett W Whipple,M0-39,2:43:17
Alvaro Sr. Montoya,M0-39,2:43:20
Sylvain Lafrance,M0-39,2:41:51
Ryan K. Swartz,M0-39,2:43:20
Zachary A Lutz,M0-39,2:43:23
Ian Thomas,M0-39,2:43:23
Daniel Woldesilassie,M0-39,2:43:23
Gavin V. Frome,M0-39,2:43:24
Daniel Craig,M0-39,2:43:26
Zachary McCormick,M0-39,2:43:28
Don King,M45-49,2:31:39
Lavar Curley,M0-39,2:43:28
Paul Landry,M40-44,2:34:20
Jacob J Enke,M0-39,2:43:31
Tim Lessek,M0-39,2:40:54
Billy Jr. Chorey,M0-39,2:43:34
Yuri Horwitz,M0-39,2:43:25
Thomas J Goldsby,M45-49,2:33:04
William Dillon,M0-39,2:43:38
Brett Rosauer,M0-39,2:43:39
Marc Burget,M40-44,2:38:24
Jeremy Bennie,M0-39,2:42:58
Ryan Beckett,M0-39,2:43:43
Brian T. Wandzilak,M0-39,2:43:44
Aaqib L. Syed,M0-39,2:39:45
Justin Wood,M0-39,2:43:47
Ben Garbe,M0-39,2:43:50
Greg Kaczka,M0-39,2:43:51
Jose Guadalupe P. Sr. De Jesus,M0-39,2:43:51
Adrian Horvath,M0-39,2:43:12
Mark D Thompson,M0-39,2:43:13
Scott Wehrwein,M0-39,2:43:53
Zachary Young,M0-39,2:43:55
Matthew R Grey,M0-39,2:43:56
Thomas C. Datwyler,M0-39,2:43:56
Thomas A. Dover,M0-39,2:41:19
Conrad F Orloff,M45-49,2:33:26
Simo Vanttinen,M40-44,2:36:05
Patrick Bell,M45-49,2:33:27
Samalya Schaefer,M0-39,2:44:00
Ryan Shanley,M0-39,2:44:01
Mark P. Albertson,M0-39,2:44:01
Eric Alvarez,M45-49,2:30:52
Joel Clarke-Ames,M0-39,2:44:03
Neil K. Rao,M0-39,2:44:04
Fan Zhou,M0-39,2:44:04
Logan M Jones,M0-39,2:44:05
Gregory Keshian,M0-39,2:44:05
Adam Stilgenbauer,M0-39,2:44:06
Lawrence Aller,M0-39,2:43:57
Joshua Dennison,M0-39,2:44:08
Malcolm Thomas,M0-39,2:44:09
Douglas W Haines,M0-39,2:44:10
Mathieu Girard,M0-39,2:44:10
Dante Zappala,M0-39,2:41:35
Dustin G. Hicks,M0-39,2:44:15
Floris Gierman,M0-39,2:44:15
Daniel P Crane,M0-39,2:44:16
Eric W Januszewski,M0-39,2:44:17
Diego J Blanton,M0-39,2:44:21
Mike Moran,M0-39,2:41:43
Thomas S Cheney,M0-39,2:44:22
Wade Foster,M0-39,2:44:25
Patrick Rabuzzi,M0-39,2:44:26
Dino Montagna,M0-39,2:44:26
James A Mattis,M40-44,2:37:51
Caitlin E. Phillips,F0-39,2:43:53
Kevin L Lanza,M0-39,2:44:29
Rob G Hampton,M40-44,2:40:32
Nate Canton,M0-39,2:44:31
Tory J. Johansen,M0-39,2:44:31
Erik Hinrichsen,M0-39,2:44:32
Andrew W. Strasburg,M0-39,2:44:33
Samuel M. Lapp,M0-39,2:42:29
Dave Counts,M45-49,2:30:02
Corey Nunlist,M0-39,2:44:33
Joseph Hengoed,M0-39,2:44:33
Nicholas E. Parton,M0-39,2:44:34
Kenneth Sprague,M0-39,2:42:32
Justin R Mollak,M0-39,2:44:40
Rod W Bien,M40-44,2:38:03
Josh Merlis,M0-39,2:44:42
Jose Tomas Ruiz-Tagle Barros,M0-39,2:44:46
